date,total_events,conflict_war_count,econ_policy_count,government_political_count,civil_unrest_protest_count,diplomatic_relations_count,avg_goldstein_scale,avg_tone
2015-12-05,77341,21446,37638,23099,1959,14451,0.68779819242057971,-2.1085743075404171
2015-12-06,71947,19762,34646,21918,1743,13502,0.73380266029160413,-2.0855538036796397
2015-12-07,107874,25208,48779,33712,2574,22664,1.3995476203719188,-1.7327601677280497
2015-12-08,110281,24351,49307,34847,2625,23364,1.587362283620932,-1.7060987006796984
2015-12-09,121737,26269,53354,39128,2868,25906,1.6615129336191976,-1.6402653912867027
2015-12-10,117225,23531,49896,38171,3192,25400,1.8356656003477325,-1.5370572343851139
2015-12-11,106557,21648,45766,35421,2852,22270,1.8029993336899488,-1.6258972838789525
2015-12-12,76552,17519,33412,24626,2380,16006,1.3252116208590237,-1.8469074471409372
2015-12-13,69440,16679,30767,22715,2133,13680,1.1650259216589867,-1.771800821480771
2015-12-14,107179,23702,46507,35297,2840,22287,1.5524785638995584,-1.651122606795965
2015-12-15,112526,23459,48336,36825,2943,24230,1.7397650320814739,-1.5952989816665992
2015-12-16,114497,24116,49724,37665,3024,23887,1.7154292252207093,-1.6663841611553381
2015-12-17,111431,20807,46460,37543,3066,24238,2.05637748920857,-1.4507929063077092
2015-12-18,106434,20708,44876,35601,2823,22976,1.9454215758122413,-1.53964619368949
2015-12-19,72728,15781,32203,23837,2160,14448,1.5774488505114963,-1.8487428580148439
2015-12-20,67252,17462,31699,21136,1855,12460,0.94739933384880715,-2.1223800934655039
2015-12-21,96727,21638,43542,31795,2442,18824,1.5667435152562448,-1.6873648004170585
2015-12-22,100171,21902,44535,33368,2480,19662,1.65329187090171,-1.673117053077859
2015-12-23,98621,22688,45544,31467,2210,19265,1.5008659413309537,-1.8101051159790857
2015-12-24,82906,19280,37803,27018,2059,15925,1.3952994958145355,-1.7952584396554476
2015-12-25,60339,15765,28432,19217,1492,11102,0.92833822237690466,-2.0009931417658944
2015-12-26,56185,16162,28116,16699,1450,9831,0.52507074842039747,-2.3706166901636894
2015-12-27,60180,17533,30090,17733,1420,10820,0.507552342971087,-2.3758772423919088
2015-12-28,84109,21492,39959,25917,2064,16084,1.0641370126859195,-2.116237508715074
2015-12-29,87157,21754,40954,27060,2085,16901,1.1462429867950406,-2.1368231833126479
2015-12-30,88521,21654,40835,27852,2053,17662,1.2306164638899244,-2.038688624461872
2015-12-31,80947,19874,37165,26544,1810,15321,1.203609769356434,-2.0403781715774545
2016-01-01,57362,15469,26879,18890,1452,10050,0.76241588508071545,-2.2177804634564988
2016-01-02,57936,16875,28204,17311,2373,9946,0.29364643745974139,-2.7092052403644207
2016-01-03,61381,17357,29119,18146,3733,10293,0.15642299737242163,-2.8999636346730933
2016-01-04,94302,24081,43137,28493,4724,17821,0.713223473517195,-2.5430545562789124
2016-01-05,100891,24213,45225,31002,3963,20589,1.0639581330346606,-2.3055351291102975
2016-01-06,99832,21706,42907,31693,3330,21757,1.4556204423469559,-1.9444798410629565
2016-01-07,100331,22206,44013,31705,3314,21161,1.4171312954159871,-1.9786244447045267
2016-01-08,94891,22480,42597,28809,2995,20394,1.2141372733387457,-2.1250697375550121
2016-01-09,70687,19144,33020,20144,2705,14718,0.59213716909558078,-2.5790889741606127
2016-01-10,64909,17252,29959,19351,2256,13245,0.68959004154327841,-2.3606659826407208
